<<<<<<< HEAD
tender_no.,agency,tender_description,award_date,tender_detail_status,supplier_name,awarded_amt,additional_info,building_name,building_no,expiry_date,grade,postal_code,street_name,tel_no,uen_no,unit_no,workhead
ACR000ETT15000010,Accounting And Corporate Regulatory Authority,Invitation To Tender For The Provision Of Cleaning Services For Accounting And Corporate Regulatory Authority For A Period Of 2 Years With An Option To Renew For 1 Year.,2015-07-30,Awarded to Suppliers,CLEANMAGE PTE. LTD.,122400.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
CCY000ETT15000007,"Ministry of Culture, Community and Youth - Ministry Headquarter",Invitation to tender for provision of cleaning services for National Youth Council for a period of one year with option to extend for year 2 and 3.,2015-04-01,Awarded to Suppliers,CLEANMAGE PTE. LTD.,370800.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
CITHQ0ETT16000036,Ministry of Transport - Ministry Headquarter,"General Cleaning and Sanitary Services, Cleaning/Decontamination Services and Provision of Personal Protection Equipment for Disease Outbreak",2016-09-26,Awarded to Suppliers,CLEANMAGE PTE. LTD.,197400.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
EMA000ETT17000010,Energy Market Authority of Singapore,Term Contract for Cleaning & Pantry Assistant Services at the Offices of Energy Market Authority for Two (2) Years with an Option to Extend for Another one (1) Year,2017-08-28,Awarded to Suppliers,CLEANMAGE PTE. LTD.,345960.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
HDB000ETT16000309,Housing and Development Board,Term Contract For Cleaning And Conservancy Services And Related Works At HDB Properties,2016-12-13,Awarded to Suppliers,CLEANMAGE PTE. LTD.,428.26,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
HSA000ETT17000044,Health Sciences Authority,PROVISION OF CLEANROOM CLEANING SERVICES AT THE CAPRICORN,2017-08-18,Awarded to Suppliers,CLEANMAGE PTE. LTD.,91200.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
INDNLSETT17000003,Northlight School,Provision of Cleaning Services to NorthLight School,2017-07-25,Awarded to Suppliers,CLEANMAGE PTE. LTD.,232800.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
IPO000ETT15000008,Intellectual Property Office of Singapore,Provision of cleaning services for offices for 1 year with the option to renew for another 2 years (1+2),2015-10-21,Awarded to Suppliers,CLEANMAGE PTE. LTD.,221800.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
NEA000ETT15000160,National Environment Agency,Provision of general cleaning services in Sarimbun Recycling Park and closed Lim Chu Kang Dumping Ground,2016-03-14,Awarded to Suppliers,CLEANMAGE PTE. LTD.,136000.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
NEA000ETT16000088,National Environment Agency,THE PROVISION OF CLEANING SERVICES FOR OFFICES,2016-09-26,Awarded to Suppliers,CLEANMAGE PTE. LTD.,168150.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
NST000ETT16000055,"Agency for Science, Technology and Research","SUPPLY LABOUR, EQUIPMENT AND MATERIALS TO PROVIDE JANITORIAL SERVICES AND TECHNICAL (CLEANROOM AND LABS) CLEANING SERVICES FOR A PERIOD OF 1 YEAR WITH OPTION TO RENEW FOR ANOTHER YEAR.",2016-07-13,Awarded to Suppliers,CLEANMAGE PTE. LTD.,169200.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
NYP000ETT16000003,Nanyang Polytechnic,Term Contract for Cleaning Services at Asian Culinary Institute (ACI),2016-03-24,Awarded to Suppliers,CLEANMAGE PTE. LTD.,61200.0,na,ENTERPRISE HUB,48,1/11/2017,L4,608586,TOH GUAN ROAD EAST,65158754,200817706G,#01-132,MW02
AGC000ETT14000011,Attorney-General's Chambers,"Invitation To Tender for The Supply, Delivery, Support of E-Discovery Software with an option for maintenance of software",2015-01-28,Awarded to Suppliers,NCS PTE. LTD.,243000.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
AGC000ETT15000019,Attorney-General's Chambers,Invitation To Tender for the provision of offsite disaster Recovery facilities management and hosting services,2016-04-21,Awarded to Suppliers,NCS PTE. LTD.,232450.28,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
AVA000ETT16000042,Agri-food and Veterinary Authority,Tender for Call Centre Solution,2017-05-22,Awarded to Suppliers,NCS PTE. LTD.,135843.1,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
AVA000ETT17000027,Agri-food and Veterinary Authority,Tender for Maintenance of Voice over Internet Protocol (VoIP) System,2017-12-22,Awarded to Suppliers,NCS PTE. LTD.,168516.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CAA000ETT15000013,Civil Aviation Authority of Singapore,Provision Of Application Maintenance And Support Services For The SAP System,2015-05-25,Awarded to Suppliers,NCS PTE. LTD.,450780.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CAA000ETT15000049,Civil Aviation Authority of Singapore,"Design, development and implementation services of software system to administer and manage courses and programmes",2016-04-29,Awarded to Suppliers,NCS PTE. LTD.,1835168.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CAA000ETT16000023,Civil Aviation Authority of Singapore,Provision of enterprise - Safety Oversight Management System (eSOMs) with maintenance services,2016-12-29,Awarded to Suppliers,NCS PTE. LTD.,5500767.37,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CAA000ETT16000038,Civil Aviation Authority of Singapore,Provision of Maintenance and Support Services for Computer Hardware and IT Network Equipment for a period of two years,2016-09-01,Awarded to Suppliers,NCS PTE. LTD.,533263.97,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CDVECDETT17000003,Ministry of Social and Family Development - Early Childhood Development Agency,INVITATION TO TENDER FOR THE PROVISION OF APPLICATION DEVELOPMENT AND MAINTENANCE SERVICES FOR THE CENTRE MANAGEMENT SYSTEM,2017-09-22,Awarded to Suppliers,NCS PTE. LTD.,9699659.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CDVHQ0ETT16000033,Ministry of Social and Family Development - Ministry Headquarter,Invitation to Tender for Application Maintenance Support and Services for Ministry of Social and Family Development,2017-07-24,Awarded to Suppliers,NCS PTE. LTD.,6422786.73,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CPF000ETT15000003,Central Provident Fund Board,"Tender for Supply, Delivery, Installation, Testing, Commissioning and Maintenance of Internet Protocol Telephony System",2015-07-02,Awarded to Suppliers,NCS PTE. LTD.,1373798.61,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CPF000ETT16000008,Central Provident Fund Board,"Supply, Installation and Maintenance of Network Encryptors",2016-06-01,Awarded to Suppliers,NCS PTE. LTD.,581210.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CPF000ETT16000034,Central Provident Fund Board,Implementation and Maintenance of Employer Workflow System,2017-04-13,Awarded to Suppliers,NCS PTE. LTD.,2761037.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
CPF000ETT16000039,Central Provident Fund Board,Implementation and Maintenance of Customer Relationship Management System,2017-02-27,Awarded to Suppliers,NCS PTE. LTD.,7427012.0,na,NCS HUB,5,1/4/2017,L1,569141,ANG MO KIO STREET 62,98626145,198101793G,na,ME02
