supplier_name,awarded_amt
01 computer system pte ltd,3532966.59
1 cell bio inc,175227.52
1-net singapore pte ltd,2349343.73
"1light media, inc",91180.0
1survey associates,249100.0
2 ic catering private limited,5.5
23.5 degree g-architects pte. ltd.,2584880.0
2nd pet taxi & cremation services,3180.0
3-sixty brand communications pte. ltd.,5487716.5
388 pte. ltd.,0.0
3ad group pte. ltd.,118430.0
3c property consultants pte. ltd.,0.01
3d networks singapore pte. ltd.,8671462.4
3m technologies (s) pte. ltd.,293120.0
3p ecotecture pte. ltd.,1342800.0
3s communication pte. ltd.,832650.0
3si pte. ltd.,157397.0
3waves energy pte. ltd.,21960.0
4n limited,89472.0
5 estrelas sistemas de seguranca ltda,608951.0
6-sigma automation pte. ltd.,164500.0
800 super waste management pte ltd,148571067.72
9g elevator pte. ltd.,2973611.88
a plus engrg & services pte. ltd.,689164.3
a+b edu tours and travel pte. ltd.,708575.96
a-geo. survey consultants,0.0
a-one air-conditioning pte ltd,529200.0
a-sonic logistics pte. ltd.,17637469.96
a-speed infotech pte. ltd.,186888.0
a-tune software inc.,170000.0
a.g.t marketing pte ltd,56235.0
a.max pte ltd,723228.1599999999
aa vehicle inspection centre pte ltd,4249530.0
aadvantage consulting group pte. ltd.,3422171.5
aam geospatial pte. ltd.,340551.1
aam pty ltd,6178654.0
aaron wills & co. private limited,277082.0
aaxonn pte. ltd.,1399.9
ab associates pte. ltd.,348000.0
ab sciex (distribution),7853071.0
abacus property management private limited,43080.0
abb pte. ltd.,5831259.88
abbott informatics singapore pte. limited,1426297.9
abeltec international pte ltd,133000.0
aberdeen asset management asia limited,1.0
abi research singapore pte. ltd.,63022.23
abingdon construction pte. ltd.,186000.0
abj pte ltd,5988400.0
abl consultants pte. ltd.,616820.0
abramtle international pte. ltd.,946490.45
absg consulting inc.,606094.0
absolute kinetics consultancy pte ltd,23760.0
absolute maintenance services pte ltd,17115750.0
abv systems pte ltd,743360.0
abvolution wellness,249930.2
ac&cs (pte.) ltd.,97700.0
aca engrg pte ltd,1068565.1
academy communication pte. ltd.,26700.0
academy of medicine singapore,493576.0
academy of sports and exercise science pte. ltd.,875813.44
acadian asset management (singapore) pte ltd,290000.0
accel systems & technologies pte ltd,2311401.0
accenture pte ltd,519241786.44000006
acclaim insurance brokers pte. ltd.,3003606.8099999996
acclaim systems pte. ltd.,104400.0
acclivis technologies and solutions pte. ltd.,15726443.0
accon engineering pte ltd,1961664.0
accord test equipment,66645.0
acculex solutions pte. ltd.,168000.0
accurate general corp.,268442.24
accurate general gorp.,623178.73
ace armadillo pte ltd,64080.0
ace land survey,315399.0
"ace recreation, sports & wellness pte. ltd.",88000.0
ace sports sg,15480.0
ace water pte. ltd.,17263240.0
ace-tone solutions,21890.0
ace:daytons communications pte. ltd.,51931.1
aceplp.com pte ltd,738272.02
aceproject construction pte. ltd.,2154255.0
acer computer (singapore) pte ltd,6917898.0
acerpacer consulting pte. ltd.,529900.0
aces system development pte ltd,4640000.0
acesian star (s) pte. ltd.,1038730.2
acexon technologies pte. ltd.,674780.0
achema pte ltd,38594.32
achievers plus llp,663526.0
acl services (singapore) pte. ltd.,43119.0
acme associates pte. ltd.,8680000.0
acme chemicals (far east) pte ltd,4004650.0
acom asian resources pte. ltd.,348240.0
acoustic & lighting system pte. ltd.,147600.0
acoustic group pte. ltd.,331891.63
